Agent Selection Mode,--,Network-wide,--
,,21:00_21:15, 7.67
,,21:15_21:30, 0.84
,,22:45_23:00, 1.15
,,23:15_23:30,163.37
Category,5-min Departure Time Interval,Travel Time Per Distance Unit STD,
,,20:45_21:00, 0.01
,,21:00_21:15, 6.47
,,21:15_21:30,22.05
,,22:45_23:00, 9.03
,,23:15_23:30,51.78
Category,5-min Departure Time Interval,95th Percentile Travel Time Per Distance Unit,
,,20:45_21:00, 0.02
,,21:00_21:15,17.45
,,21:15_21:30,58.77
,,23:15_23:30,84.26
Category,5-min Departure Time Interval,90th Percentile Travel Time Per Distance Unit,
,,20:45_21:00, 0.01
,,21:00_21:15,13.70
,,21:15_21:30,42.30
,,23:15_23:30,39.16
Category,5-min Departure Time Interval,80th Percentile Travel Time Per Distance Unit,
,,21:00_21:15, 7.85
,,21:15_21:30,26.86
Category,15-min Departure Time Interval,Number of Agents,
,,06:45_07:00,14203.00
,,07:00_07:15,2463.00
,,07:30_07:45,2778.00
,,07:45_08:00,5556.00
Category,15-min Departure Time Interval,Cumulative Number of Agents,
,,06:45_07:00,14203.00
,,07:00_07:15,16666.00
,,07:30_07:45,19444.00
,,07:45_08:00,25000.00
Category,15-min Departure Time Interval,Total Travel Time (min),
,,06:45_07:00,15.54
,,07:00_07:15,38233.41
Category,15-min Departure Time Interval,Total Travel Distance ,
,,06:45_07:00,30500.11
,,07:00_07:15,5260.89
,,07:30_07:45,6246.02
,,07:45_08:00,11447.69
Category,15-min Departure Time Interval,Avg Travel Time (min),15.52
Category,15-min Departure Time Interval,Avg Travel Distance ,
,,06:45_07:00, 2.15
,,07:00_07:15, 2.14
,,07:30_07:45, 2.25
,,07:45_08:00, 2.06
Category,15-min Departure Time Interval,Avg Speed (distance/hour),
,,06:45_07:00,117782.01
,,07:00_07:15, 8.26
,,07:30_07:45,62460.21
,,07:45_08:00,114476.87
Category,15-min Departure Time Interval,Avg Travel Time Per distance (min/distance),10.13
Category,15-min Departure Time Interval,Travel Time Index: mean/FFTT, 3.67
Category,15-min Departure Time Interval,Avg Travel Time STD (min),
,,06:45_07:00, 0.01
,,07:00_07:15,20.41
,,07:30_07:45,13.61
,,07:45_08:00,41.25
Category,15-min Departure Time Interval,95th Percentile Travel Time (min),
,,06:45_07:00, 0.02
,,07:00_07:15,53.01
,,07:45_08:00,77.84
Category,15-min Departure Time Interval,90th Percentile Travel Time (min),
,,06:45_07:00, 0.02
,,07:00_07:15,46.31
,,07:45_08:00,54.54
Category,15-min Departure Time Interval,80th Percentile Travel Time (min),
,,06:45_07:00, 0.01
,,07:00_07:15,36.70
Category,15-min Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,07:00_07:15,12.54
,,07:45_08:00,17.90
Category,15-min Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,06:45_07:00, 2.25
,,07:00_07:15, 2.42
,,07:45_08:00,10528.66
Category,15-min Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,06:45_07:00, 1.08
,,07:00_07:15, 3.40
,,07:30_07:45, 1.15
,,07:45_08:00,163.37
Category,15-min Departure Time Interval,Travel Time Per Distance Unit STD,
,,06:45_07:00, 0.01
,,07:00_07:15,17.38
,,07:30_07:45, 9.03
,,07:45_08:00,51.78
Category,15-min Departure Time Interval,95th Percentile Travel Time Per Distance Unit,
,,06:45_07:00, 0.02
,,07:00_07:15,40.27
,,07:45_08:00,84.26
Category,15-min Departure Time Interval,90th Percentile Travel Time Per Distance Unit,
,,06:45_07:00, 0.01
,,07:00_07:15,25.57
,,07:45_08:00,39.16
Category,15-min Departure Time Interval,80th Percentile Travel Time Per Distance Unit,18.13
Category,30-min Departure Time Interval,Number of Agents,
,,06:30_07:00,14203.00
,,07:00_07:30,2463.00
,,07:30_08:00,8334.00
Category,30-min Departure Time Interval,Cumulative Number of Agents,
,,06:30_07:00,14203.00
,,07:00_07:30,16666.00
,,07:30_08:00,25000.00
Category,30-min Departure Time Interval,Total Travel Time (min),
,,06:30_07:00,15.54
,,07:00_07:30,38233.41
Category,30-min Departure Time Interval,Total Travel Distance ,
,,06:30_07:00,30500.11
,,07:00_07:30,5260.89
,,07:30_08:00,17694.13
Category,30-min Departure Time Interval,Avg Travel Time (min),15.52
Category,30-min Departure Time Interval,Avg Travel Distance ,
,,06:30_07:00, 2.15
,,07:00_07:30, 2.14
,,07:30_08:00, 2.12
Category,30-min Departure Time Interval,Avg Speed (distance/hour),
,,06:30_07:00,117782.01
,,07:00_07:30, 8.26
,,07:30_08:00,176941.31
Category,30-min Departure Time Interval,Avg Travel Time Per distance (min/distance),10.13
Category,30-min Departure Time Interval,Travel Time Index: mean/FFTT, 3.67
Category,30-min Departure Time Interval,Avg Travel Time STD (min),
,,06:30_07:00, 0.01
,,07:00_07:30,20.41
,,07:30_08:00,34.68
Category,30-min Departure Time Interval,95th Percentile Travel Time (min),
,,06:30_07:00, 0.02
,,07:00_07:30,53.01
,,07:30_08:00,69.21
Category,30-min Departure Time Interval,90th Percentile Travel Time (min),
,,06:30_07:00, 0.02
,,07:00_07:30,46.31
,,07:30_08:00,33.32
Category,30-min Departure Time Interval,80th Percentile Travel Time (min),
,,06:30_07:00, 0.01
,,07:00_07:30,36.70
Category,30-min Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,07:00_07:30,12.54
,,07:30_08:00,16.40
Category,30-min Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,06:30_07:00, 2.25
,,07:00_07:30, 2.42
,,07:30_08:00,9842.99
Category,30-min Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,06:30_07:00, 1.08
,,07:00_07:30, 3.40
,,07:30_08:00,126.01
Category,30-min Departure Time Interval,Travel Time Per Distance Unit STD,
,,06:30_07:00, 0.01
,,07:00_07:30,17.38
,,07:30_08:00,42.66
Category,30-min Departure Time Interval,95th Percentile Travel Time Per Distance Unit,
,,06:30_07:00, 0.02
,,07:00_07:30,40.27
,,07:30_08:00,46.32
Category,30-min Departure Time Interval,90th Percentile Travel Time Per Distance Unit,
,,06:30_07:00, 0.01
,,07:00_07:30,25.57
,,07:30_08:00,22.35
Category,30-min Departure Time Interval,80th Percentile Travel Time Per Distance Unit,18.13
Category,1-hour Departure Time Interval,Number of Agents,
,,06:00_07:00,14203.00
,,07:00_08:00,10797.00
Category,1-hour Departure Time Interval,Cumulative Number of Agents,
,,06:00_07:00,14203.00
,,07:00_08:00,25000.00
Category,1-hour Departure Time Interval,Total Travel Time (min),15.54
Category,1-hour Departure Time Interval,Total Travel Distance ,
,,06:00_07:00,30500.11
,,07:00_08:00,22954.75
Category,1-hour Departure Time Interval,Avg Travel Distance ,
,,06:00_07:00, 2.15
,,07:00_08:00, 2.13
Category,1-hour Departure Time Interval,Avg Speed (distance/hour),
,,06:00_07:00,117782.01
,,07:00_08:00,229547.53
Category,1-hour Departure Time Interval,Avg Travel Time STD (min),
,,06:00_07:00, 0.01
,,07:00_08:00,37.09
Category,1-hour Departure Time Interval,95th Percentile Travel Time (min),
,,06:00_07:00, 0.02
,,07:00_08:00,61.48
Category,1-hour Departure Time Interval,90th Percentile Travel Time (min),
,,06:00_07:00, 0.02
,,07:00_08:00,40.98
Category,1-hour Departure Time Interval,80th Percentile Travel Time (min),
,,06:00_07:00, 0.01
,,07:00_08:00,15.29
Category,1-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT,14.56
Category,1-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,06:00_07:00, 2.25
,,07:00_08:00,8049.53
Category,1-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,06:00_07:00, 1.08
,,07:00_08:00, 6.62
Category,1-hour Departure Time Interval,Travel Time Per Distance Unit STD,
,,06:00_07:00, 0.01
,,07:00_08:00,39.65
Category,1-hour Departure Time Interval,95th Percentile Travel Time Per Distance Unit,
,,06:00_07:00, 0.02
,,07:00_08:00,44.00
Category,1-hour Departure Time Interval,90th Percentile Travel Time Per Distance Unit,
,,06:00_07:00, 0.01
,,07:00_08:00,24.39
Category,1-hour Departure Time Interval,80th Percentile Travel Time Per Distance Unit, 8.65
Category,2-hour Departure Time Interval,Number of Agents,25000.00
Category,2-hour Departure Time Interval,Cumulative Number of Agents,25000.00
Category,2-hour Departure Time Interval,Total Travel Distance ,53457.68
Category,2-hour Departure Time Interval,Avg Travel Distance , 2.14
Category,2-hour Departure Time Interval,Avg Speed (distance/hour),534576.81
Category,2-hour Departure Time Interval,Avg Travel Time STD (min),26.13
Category,2-hour Departure Time Interval,95th Percentile Travel Time (min),36.93
Category,2-hour Departure Time Interval,90th Percentile Travel Time (min), 0.04
Category,2-hour Departure Time Interval,80th Percentile Travel Time (min), 0.01
Category,2-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT, 8.76
Category,2-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,4513.88
Category,2-hour Departure Time Interval,Travel Time Per Distance Unit STD,26.37
Category,2-hour Departure Time Interval,95th Percentile Travel Time Per Distance Unit,20.55
Category,2-hour Departure Time Interval,90th Percentile Travel Time Per Distance Unit, 0.06
Category,4-hour Departure Time Interval,Number of Agents,25000.00
Category,4-hour Departure Time Interval,Cumulative Number of Agents,25000.00
Category,4-hour Departure Time Interval,Total Travel Distance ,53457.68
Category,4-hour Departure Time Interval,Avg Travel Distance , 2.14
Category,4-hour Departure Time Interval,Avg Speed (distance/hour),534576.81
Category,4-hour Departure Time Interval,Avg Travel Time STD (min),26.13
Category,4-hour Departure Time Interval,95th Percentile Travel Time (min),36.93
Category,4-hour Departure Time Interval,90th Percentile Travel Time (min), 0.04
Category,4-hour Departure Time Interval,80th Percentile Travel Time (min), 0.01
Category,4-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT, 8.76
Category,4-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,4513.88
Category,4-hour Departure Time Interval,Travel Time Per Distance Unit STD,26.37
Category,4-hour Departure Time Interval,95th Percentile Travel Time Per Distance Unit,20.55
Category,4-hour Departure Time Interval,90th Percentile Travel Time Per Distance Unit, 0.06
Category,Distance Bin (0.2 dist Interval),Number of Agents,
,,0.2_0.4,1000.00
,,0.6_0.8,2000.00
,,1.0_1.2,2000.00
,,1.2_1.4,1000.00
,,1.4_1.6,1000.00
,,1.6_1.8,2000.00
,,2.0_2.2,3000.00
,,2.2_2.4,4000.00
,,2.4_2.6,1000.00
,,2.6_2.8,2000.00
,,3.0_3.2,3000.00
,,3.2_3.4,1000.00
,,3.6_3.8,2000.00
Category,Distance Bin (0.2 dist Interval),Cumulative Number of Agents,
,,0.2_0.4,1000.00
,,0.6_0.8,3000.00
,,1.0_1.2,5000.00
,,1.2_1.4,6000.00
,,1.4_1.6,7000.00
,,1.6_1.8,9000.00
,,2.0_2.2,12000.00
,,2.2_2.4,16000.00
,,2.4_2.6,17000.00
,,2.6_2.8,19000.00
,,3.0_3.2,22000.00
,,3.2_3.4,23000.00
,,3.6_3.8,25000.00
Category,Distance Bin (0.2 dist Interval),Total Travel Time (min),
,,0.2_0.4,1564.24
,,0.6_0.8,3618.91
,,2.0_2.2,17.11
Category,Distance Bin (0.2 dist Interval),Total Travel Distance ,
,,0.2_0.4,321.40
,,0.6_0.8,1433.77
,,1.0_1.2,2228.77
,,1.2_1.4,1323.11
,,1.4_1.6,1453.49
,,1.6_1.8,3406.41
,,2.0_2.2,6460.21
,,2.2_2.4,9049.25
,,2.4_2.6,2534.50
,,2.6_2.8,5328.42
,,3.0_3.2,9360.94
,,3.2_3.4,3244.16
,,3.6_3.8,7310.73
Category,Distance Bin (0.2 dist Interval),Avg Travel Time (min),
,,0.2_0.4, 1.56
,,0.6_0.8, 1.81
Category,Distance Bin (0.2 dist Interval),Avg Travel Distance ,
,,0.2_0.4, 0.32
,,0.6_0.8, 0.72
,,1.0_1.2, 1.11
,,1.2_1.4, 1.32
,,1.4_1.6, 1.45
,,1.6_1.8, 1.70
,,2.0_2.2, 2.15
,,2.2_2.4, 2.26
,,2.4_2.6, 2.53
,,2.6_2.8, 2.66
,,3.0_3.2, 3.12
,,3.2_3.4, 3.24
,,3.6_3.8, 3.66
Category,Distance Bin (0.2 dist Interval),Avg Speed (distance/hour),
,,0.2_0.4,12.33
,,0.6_0.8,23.77
,,1.0_1.2,22287.71
,,1.2_1.4,13231.11
,,1.4_1.6,14534.93
,,1.6_1.8,34064.06
,,2.0_2.2,22652.00
,,2.2_2.4,90492.53
,,2.4_2.6,25344.99
,,2.6_2.8,53284.24
,,3.0_3.2,93609.38
,,3.2_3.4,32441.60
,,3.6_3.8,73107.26
Category,Distance Bin (0.2 dist Interval),Avg Travel Time Per distance (min/distance),
,,0.2_0.4, 4.87
,,0.6_0.8, 2.95
,,2.0_2.2, 0.06
Category,Distance Bin (0.2 dist Interval),Travel Time Index: mean/FFTT,
,,0.2_0.4, 0.81
,,0.6_0.8, 0.58
Category,Distance Bin (0.2 dist Interval),Avg Travel Time STD (min),
,,0.2_0.4,31.39
,,0.6_0.8,31.90
,,1.0_1.2,20.73
,,1.2_1.4,25.01
,,1.4_1.6,16.78
,,1.6_1.8,26.94
,,2.0_2.2,33.16
,,2.2_2.4,21.23
,,2.4_2.6,21.29
,,2.6_2.8,23.09
,,3.0_3.2,23.31
,,3.2_3.4,21.49
,,3.6_3.8,25.86
Category,Distance Bin (0.2 dist Interval),95th Percentile Travel Time (min),
,,0.2_0.4,74.42
,,0.6_0.8,74.98
,,1.0_1.2, 8.89
,,1.2_1.4,26.99
,,1.4_1.6, 0.02
,,1.6_1.8,46.37
,,2.0_2.2,77.04
,,2.2_2.4, 0.03
,,2.4_2.6, 0.02
,,2.6_2.8,27.05
,,3.0_3.2, 0.04
,,3.2_3.4,33.95
,,3.6_3.8,26.45
Category,Distance Bin (0.2 dist Interval),90th Percentile Travel Time (min),
,,0.2_0.4,44.41
,,0.6_0.8,45.83
,,1.0_1.2, 0.02
,,1.2_1.4, 0.03
,,1.4_1.6, 0.01
,,1.6_1.8,27.11
,,2.0_2.2,47.22
,,2.2_2.4, 0.02
,,2.4_2.6, 0.01
,,2.6_2.8, 0.02
,,3.0_3.2, 0.02
,,3.2_3.4, 0.03
,,3.6_3.8, 0.02
Category,Distance Bin (0.2 dist Interval),80th Percentile Travel Time (min),
,,0.2_0.4,13.55
,,0.6_0.8,14.92
,,1.0_1.2, 0.01
,,1.2_1.4, 0.01
,,1.6_1.8, 0.02
,,2.0_2.2, 0.03
,,2.6_2.8, 0.01
,,3.2_3.4, 0.01
,,3.6_3.8, 0.01
Category,Distance Bin (0.2 dist Interval),Planning Time Index: 95th percentile/FFTT,
,,0.2_0.4,38.59
,,0.6_0.8,23.97
,,1.0_1.2, 4.36
,,1.2_1.4,13.65
,,1.6_1.8,11.14
,,2.0_2.2,15.12
,,2.6_2.8, 6.29
,,3.2_3.4, 6.06
,,3.6_3.8, 4.28
Category,Distance Bin (0.2 dist Interval),Buffer Index: (95th percentile - mean)/mean,
,,0.2_0.4,46.58
,,0.6_0.8,40.44
,,1.0_1.2,1994.82
,,1.2_1.4,3801.43
,,1.4_1.6,1262.68
,,1.6_1.8,5084.41
,,2.0_2.2,7703.57
,,2.2_2.4,1274.36
,,2.4_2.6,1470.92
,,2.6_2.8,3752.67
,,3.0_3.2,1246.01
,,3.2_3.4,4238.82
,,3.6_3.8,3823.60
Category,Distance Bin (0.2 dist Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0.2_0.4, 0.94
,,0.6_0.8, 0.97
,,1.6_1.8, 0.58
,,2.0_2.2, 1.00
Category,Distance Bin (0.2 dist Interval),Travel Time Per Distance Unit STD,
,,0.2_0.4,97.68
,,0.6_0.8,45.75
,,1.0_1.2,18.70
,,1.2_1.4,18.91
,,1.4_1.6,11.55
,,1.6_1.8,15.99
,,2.0_2.2,15.45
,,2.2_2.4, 9.47
,,2.4_2.6, 8.40
,,2.6_2.8, 8.63
,,3.0_3.2, 7.49
,,3.2_3.4, 6.62
,,3.6_3.8, 7.07
Category,Distance Bin (0.2 dist Interval),95th Percentile Travel Time Per Distance Unit,
,,0.2_0.4,231.55
,,0.6_0.8,99.33
,,1.0_1.2, 8.10
,,1.2_1.4,20.40
,,1.4_1.6, 0.01
,,1.6_1.8,27.33
,,2.0_2.2,36.20
,,2.2_2.4, 0.01
,,2.6_2.8,10.20
,,3.0_3.2, 0.01
,,3.2_3.4,10.46
,,3.6_3.8, 7.19
Category,Distance Bin (0.2 dist Interval),90th Percentile Travel Time Per Distance Unit,
,,0.2_0.4,138.17
,,0.6_0.8,65.69
,,1.0_1.2, 0.02
,,1.2_1.4, 0.02
,,1.6_1.8,16.15
,,2.0_2.2,21.95
Category,Distance Bin (0.2 dist Interval),80th Percentile Travel Time Per Distance Unit,
,,0.2_0.4,42.16
,,0.6_0.8,20.84
,,1.6_1.8, 0.01
,,2.0_2.2, 0.01
Category,Distance Bin (1 dist Interval),Number of Agents,
,,0_1,3000.00
,,1_2,6000.00
,,2_3,10000.00
,,3_4,6000.00
Category,Distance Bin (1 dist Interval),Cumulative Number of Agents,
,,0_1,3000.00
,,1_2,9000.00
,,2_3,19000.00
,,3_4,25000.00
Category,Distance Bin (1 dist Interval),Total Travel Time (min),5183.16
Category,Distance Bin (1 dist Interval),Total Travel Distance ,
,,0_1,1755.18
,,1_2,8411.73
,,2_3,23372.67
,,3_4,19915.00
Category,Distance Bin (1 dist Interval),Avg Travel Time (min), 1.73
Category,Distance Bin (1 dist Interval),Avg Travel Distance ,
,,0_1, 0.59
,,1_2, 1.40
,,2_3, 2.34
,,3_4, 3.32
Category,Distance Bin (1 dist Interval),Avg Speed (distance/hour),
,,0_1,20.32
,,1_2,84117.34
,,2_3,233726.66
,,3_4,199150.00
Category,Distance Bin (1 dist Interval),Avg Travel Time Per distance (min/distance), 3.59
Category,Distance Bin (1 dist Interval),Travel Time Index: mean/FFTT, 0.63
Category,Distance Bin (1 dist Interval),Avg Travel Time STD (min),
,,0_1,31.73
,,1_2,23.40
,,2_3,26.37
,,3_4,23.95
Category,Distance Bin (1 dist Interval),95th Percentile Travel Time (min),
,,0_1,74.63
,,1_2,27.07
,,2_3,35.74
,,3_4,23.60
Category,Distance Bin (1 dist Interval),90th Percentile Travel Time (min),
,,0_1,45.51
,,1_2, 0.03
,,2_3, 0.03
,,3_4, 0.02
Category,Distance Bin (1 dist Interval),80th Percentile Travel Time (min),
,,0_1,14.22
,,1_2, 0.01
,,2_3, 0.01
Category,Distance Bin (1 dist Interval),Planning Time Index: 95th percentile/FFTT,
,,0_1,27.35
,,1_2, 8.67
,,2_3, 8.29
,,3_4, 4.01
Category,Distance Bin (1 dist Interval),Buffer Index: (95th percentile - mean)/mean,
,,0_1,42.20
,,1_2,3618.32
,,2_3,4438.86
,,3_4,3514.18
Category,Distance Bin (1 dist Interval),Skew Index: (90th %ile-median)/(median-10th %ile), 0.96
Category,Distance Bin (1 dist Interval),Travel Time Per Distance Unit STD,
,,0_1,67.65
,,1_2,17.14
,,2_3,11.64
,,3_4, 7.23
Category,Distance Bin (1 dist Interval),95th Percentile Travel Time Per Distance Unit,
,,0_1,126.62
,,1_2,18.43
,,2_3,15.61
,,3_4, 7.04
Category,Distance Bin (1 dist Interval),90th Percentile Travel Time Per Distance Unit,
,,0_1,86.22
,,1_2, 0.02
,,2_3, 0.01
Category,Distance Bin (1 dist Interval),80th Percentile Travel Time Per Distance Unit,24.71
Category,Distance Bin (2 dist Interval),Number of Agents,
,,0_2,9000.00
,,2_4,16000.00
Category,Distance Bin (2 dist Interval),Cumulative Number of Agents,
,,0_2,9000.00
,,2_4,25000.00
Category,Distance Bin (2 dist Interval),Total Travel Distance ,
,,0_2,10166.62
,,2_4,43289.98
Category,Distance Bin (2 dist Interval),Avg Travel Distance ,
,,0_2, 1.13
,,2_4, 2.71
Category,Distance Bin (2 dist Interval),Avg Speed (distance/hour),
,,0_2,101666.17
,,2_4,432899.84
Category,Distance Bin (2 dist Interval),Avg Travel Time STD (min),
,,0_2,26.96
,,2_4,25.53
Category,Distance Bin (2 dist Interval),95th Percentile Travel Time (min),
,,0_2,44.04
,,2_4,31.49
Category,Distance Bin (2 dist Interval),90th Percentile Travel Time (min),
,,0_2,20.96
,,2_4, 0.02
Category,Distance Bin (2 dist Interval),80th Percentile Travel Time (min),
,,0_2, 0.02
,,2_4, 0.01
Category,Distance Bin (2 dist Interval),Planning Time Index: 95th percentile/FFTT,
,,0_2,14.72
,,2_4, 6.42
Category,Distance Bin (2 dist Interval),Buffer Index: (95th percentile - mean)/mean,
,,0_2,4953.88
,,2_4,4122.14
Category,Distance Bin (2 dist Interval),Skew Index: (90th %ile-median)/(median-10th %ile), 0.45
Category,Distance Bin (2 dist Interval),Travel Time Per Distance Unit STD,
,,0_2,41.79
,,2_4,10.22
Category,Distance Bin (2 dist Interval),95th Percentile Travel Time Per Distance Unit,
,,0_2,51.02
,,2_4,11.86
Category,Distance Bin (2 dist Interval),90th Percentile Travel Time Per Distance Unit,20.12
Category,Distance Bin (2 dist Interval),80th Percentile Travel Time Per Distance Unit, 0.02
Category,Distance Bin (5 dist Interval),Number of Agents,25000.00
Category,Distance Bin (5 dist Interval),Cumulative Number of Agents,25000.00
Category,Distance Bin (5 dist Interval),Total Travel Distance ,53457.68
Category,Distance Bin (5 dist Interval),Avg Travel Distance , 2.14
Category,Distance Bin (5 dist Interval),Avg Speed (distance/hour),534576.81
Category,Distance Bin (5 dist Interval),Avg Travel Time STD (min),26.13
Category,Distance Bin (5 dist Interval),95th Percentile Travel Time (min),36.93
Category,Distance Bin (5 dist Interval),90th Percentile Travel Time (min), 0.04
Category,Distance Bin (5 dist Interval),80th Percentile Travel Time (min), 0.01
Category,Distance Bin (5 dist Interval),Planning Time Index: 95th percentile/FFTT, 8.76
Category,Distance Bin (5 dist Interval),Buffer Index: (95th percentile - mean)/mean,4513.88
Category,Distance Bin (5 dist Interval),Travel Time Per Distance Unit STD,26.37
Category,Distance Bin (5 dist Interval),95th Percentile Travel Time Per Distance Unit,20.55
Category,Distance Bin (5 dist Interval),90th Percentile Travel Time Per Distance Unit, 0.06
Category,Distance Bin (10 dist Interval),Number of Agents,25000.00
Category,Distance Bin (10 dist Interval),Cumulative Number of Agents,25000.00
Category,Distance Bin (10 dist Interval),Total Travel Distance ,53457.68
Category,Distance Bin (10 dist Interval),Avg Travel Distance , 2.14
Category,Distance Bin (10 dist Interval),Avg Speed (distance/hour),534576.81
Category,Distance Bin (10 dist Interval),Avg Travel Time STD (min),26.13
Category,Distance Bin (10 dist Interval),95th Percentile Travel Time (min),36.93
Category,Distance Bin (10 dist Interval),90th Percentile Travel Time (min), 0.04
Category,Distance Bin (10 dist Interval),80th Percentile Travel Time (min), 0.01
Category,Distance Bin (10 dist Interval),Planning Time Index: 95th percentile/FFTT, 8.76
Category,Distance Bin (10 dist Interval),Buffer Index: (95th percentile - mean)/mean,4513.88
Category,Distance Bin (10 dist Interval),Travel Time Per Distance Unit STD,26.37
Category,Distance Bin (10 dist Interval),95th Percentile Travel Time Per Distance Unit,20.55
Category,Distance Bin (10 dist Interval),90th Percentile Travel Time Per Distance Unit, 0.06
Category,Travel Time Bin (2 min Interval),Number of Agents,
,,30_32,1000.00
,,34_36,1000.00
,,60_62,1000.00
,,72_74,1000.00
,,80_82,1000.00
,,96_98,1000.00
,,104_106,1000.00
